"","survived","pclass","sex","age"
"323",1,1,"female",36
"324",0,2,"male",30
"325",1,2,"female",28
"326",0,2,"male",30
"327",0,2,"male",18
"328",0,2,"male",25
"329",0,2,"male",34
"330",1,2,"female",36
"331",0,2,"male",57
"332",0,2,"male",18
"333",0,2,"male",23
"334",1,2,"female",36
"335",0,2,"male",28
"336",0,2,"male",51
"337",1,2,"male",32
"338",1,2,"female",19
"339",0,2,"male",28
"340",1,2,"male",1
"341",1,2,"female",4
"342",1,2,"female",12
"343",1,2,"female",36
"344",1,2,"male",34
"345",1,2,"female",19
"346",0,2,"male",23
"347",0,2,"male",26
"348",0,2,"male",42
"349",0,2,"male",27
"350",1,2,"female",24
"351",1,2,"female",15
"352",0,2,"male",60
"353",1,2,"female",40
"354",1,2,"female",20
"355",0,2,"male",25
"356",1,2,"female",36
"357",0,2,"male",25
"358",0,2,"male",42
"359",1,2,"female",42
"360",1,2,"male",0.8333
"361",1,2,"male",26
"362",1,2,"female",22
"363",1,2,"female",35
"364",0,2,"male",29.8811345124283
"365",0,2,"male",19
"366",0,2,"female",44
"367",0,2,"male",54
"368",0,2,"male",52
"369",0,2,"male",37
"370",0,2,"female",29
"371",1,2,"female",25
"372",1,2,"female",45
"373",0,2,"male",29
"374",1,2,"female",28
"375",0,2,"male",29
"376",0,2,"male",28
"377",1,2,"male",24
"378",1,2,"female",8
"379",0,2,"male",31
"380",1,2,"female",31
"381",1,2,"female",22
"382",0,2,"female",30
"383",0,2,"female",29.8811345124283
"384",0,2,"male",21
"385",0,2,"male",29.8811345124283
"386",1,2,"male",8
"387",0,2,"male",18
"388",1,2,"female",48
"389",1,2,"female",28
"390",0,2,"male",32
"391",0,2,"male",17
"392",0,2,"male",29
"393",1,2,"female",24
"394",0,2,"male",25
"395",0,2,"male",18
"396",1,2,"female",18
"397",1,2,"female",34
"398",0,2,"male",54
"399",1,2,"male",8
"400",0,2,"male",42
"401",1,2,"female",34
"402",1,2,"female",27
"403",1,2,"female",30
"404",0,2,"male",23
"405",0,2,"male",21
"406",0,2,"male",18
"407",0,2,"male",40
"408",1,2,"female",29
"409",0,2,"male",18
"410",0,2,"male",36
"411",0,2,"male",29.8811345124283
"412",0,2,"female",38
"413",0,2,"male",35
"414",0,2,"male",38
"415",0,2,"male",34
"416",1,2,"female",34
"417",0,2,"male",16
"418",0,2,"male",26
"419",0,2,"male",47
"420",0,2,"male",21
"421",0,2,"male",21
"422",0,2,"male",24
"423",0,2,"male",24
"424",0,2,"male",34
"425",0,2,"male",30
"426",0,2,"male",52
"427",0,2,"male",30
"428",1,2,"male",0.6667
"429",1,2,"female",24
"430",0,2,"male",44
"431",1,2,"female",6
"432",0,2,"male",28
"433",1,2,"male",62
"434",0,2,"male",30
"435",1,2,"female",7
"436",0,2,"male",43
"437",1,2,"female",45
"438",1,2,"female",24
"439",1,2,"female",24
"440",0,2,"male",49
"441",1,2,"female",48
"442",1,2,"female",55
"443",0,2,"male",24
"444",0,2,"male",32
"445",0,2,"male",21
"446",0,2,"female",18
"447",1,2,"female",20
"448",0,2,"male",23
"449",0,2,"male",36
"450",1,2,"female",54
"451",0,2,"male",50
"452",0,2,"male",44
"453",1,2,"female",29
"454",0,2,"male",21
"455",1,2,"male",42
"456",0,2,"male",63
"457",0,2,"female",60
"458",0,2,"male",33
"459",1,2,"female",17
"460",0,2,"male",42
"461",1,2,"female",24
"462",0,2,"male",47
"463",0,2,"male",24
"464",0,2,"male",22
"465",0,2,"male",32
"466",1,2,"female",23
"467",0,2,"male",34
"468",1,2,"female",24
"469",0,2,"female",22
"470",1,2,"female",29.8811345124283
"471",0,2,"male",35
"472",1,2,"female",45
"473",0,2,"male",57
"474",0,2,"male",29.8811345124283
"475",0,2,"male",31
"476",0,2,"female",26
"477",0,2,"male",30
"478",0,2,"male",29.8811345124283
"479",1,2,"female",1
"480",1,2,"female",3
"481",0,2,"male",25
"482",1,2,"female",22
"483",1,2,"female",17
"484",1,2,"female",29.8811345124283
"485",1,2,"female",34
"486",0,2,"male",36
"487",0,2,"male",24
"488",0,2,"male",61
"489",0,2,"male",50
"490",1,2,"female",42
"491",0,2,"female",57
"492",0,2,"male",29.8811345124283
"493",1,2,"male",1
"494",0,2,"male",31
"495",1,2,"female",24
"496",0,2,"male",29.8811345124283
"497",0,2,"male",30
"498",0,2,"male",40
"499",0,2,"male",32
"500",0,2,"male",30
"501",0,2,"male",46
"502",1,2,"female",13
"503",1,2,"female",41
"504",1,2,"male",19
"505",0,2,"male",39
"506",0,2,"male",48
"507",0,2,"male",70
"508",0,2,"male",27
"509",0,2,"male",54
"510",0,2,"male",39
"511",0,2,"male",16
"512",0,2,"male",62
"513",0,2,"male",32.5
"514",1,2,"female",14
"515",1,2,"male",2
"516",1,2,"male",3
"517",0,2,"male",36.5
"518",0,2,"male",26
"519",0,2,"male",19
"520",0,2,"male",28
"521",1,2,"male",20
"522",1,2,"female",29
"523",0,2,"male",39
"524",1,2,"male",22
"525",1,2,"male",29.8811345124283
"526",0,2,"male",23
"527",1,2,"male",29
"528",0,2,"male",28
"529",0,2,"male",29.8811345124283
"530",1,2,"female",50
"531",0,2,"male",19
"532",0,2,"male",29.8811345124283
"533",0,2,"male",41
"534",1,2,"female",21
"535",1,2,"female",19
"536",0,2,"male",43
"537",1,2,"female",32
"538",0,2,"male",34
"539",1,2,"male",30
"540",0,2,"male",27
"541",1,2,"female",2
"542",1,2,"female",8
"543",1,2,"female",33
"544",0,2,"male",36
"545",0,2,"male",34
"546",1,2,"female",30
"547",1,2,"female",28
"548",0,2,"male",23
"549",1,2,"male",0.8333
"550",1,2,"male",3
"551",1,2,"female",24
"552",1,2,"female",50
"553",0,2,"male",19
"554",1,2,"female",21
"555",0,2,"male",26
"556",0,2,"male",25
"557",0,2,"male",27
"558",1,2,"female",25
"559",1,2,"female",18
"560",1,2,"female",20
"561",1,2,"female",30
"562",0,2,"male",59
"563",1,2,"female",30
"564",0,2,"male",35
"565",1,2,"female",40
"566",0,2,"male",25
"567",0,2,"male",41
"568",0,2,"male",25
"569",0,2,"male",18.5
"570",0,2,"male",14
"571",1,2,"female",50
"572",0,2,"male",23
"573",1,2,"female",28
"574",1,2,"female",27
"575",0,2,"male",29
"576",0,2,"female",27
"577",0,2,"male",40
"578",1,2,"female",31
"579",0,2,"male",30
"580",0,2,"male",23
"581",1,2,"female",31
"582",0,2,"male",29.8811345124283
"583",1,2,"female",12
"584",1,2,"female",40
"585",1,2,"female",32.5
"586",0,2,"male",27
"587",1,2,"female",29
"588",1,2,"male",2
"589",1,2,"female",4
"590",1,2,"female",29
"591",1,2,"female",0.9167
"592",1,2,"female",5
"593",0,2,"male",36
"594",1,2,"female",33
"595",0,2,"male",66
"596",0,2,"male",29.8811345124283
"597",1,2,"male",31
"598",1,2,"male",29.8811345124283
"599",1,2,"female",26
"600",0,2,"female",24
"601",0,3,"male",42
"602",0,3,"male",13
"603",0,3,"male",16
"604",1,3,"female",35
"605",1,3,"female",16
"606",1,3,"male",25
"607",1,3,"male",20
"608",1,3,"female",18
"609",0,3,"male",30
"610",0,3,"male",26
"611",0,3,"female",40
"612",1,3,"male",0.8333
"613",1,3,"female",18
"614",1,3,"male",26
"615",0,3,"male",26
"616",0,3,"male",20
"617",0,3,"male",24
"618",0,3,"male",25
"619",0,3,"male",35
"620",0,3,"male",18
"621",0,3,"male",32
"622",1,3,"female",19
"623",0,3,"male",4
"624",0,3,"female",6
"625",0,3,"female",2
"626",1,3,"female",17
"627",0,3,"female",38
"628",0,3,"female",9
"629",0,3,"female",11
"630",0,3,"male",39
"631",1,3,"male",27
"632",0,3,"male",26
"633",0,3,"female",39
"634",0,3,"male",20
"635",0,3,"male",26
"636",0,3,"male",25
"637",0,3,"female",18
"638",0,3,"male",24
"639",0,3,"male",35
"640",0,3,"male",5
"641",0,3,"male",9
"642",1,3,"male",3
"643",0,3,"male",13
"644",1,3,"female",5
"645",0,3,"male",40
"646",1,3,"male",23
"647",1,3,"female",38
"648",1,3,"female",45
"649",0,3,"male",21
"650",0,3,"male",23
"651",0,3,"female",17
"652",0,3,"male",30
"653",0,3,"male",23
"654",1,3,"female",13
"655",0,3,"male",20
"656",0,3,"male",32
"657",1,3,"female",33
"658",1,3,"female",0.75
"659",1,3,"female",0.75
"660",1,3,"female",5
"661",1,3,"female",24
"662",1,3,"female",18
"663",0,3,"male",40
"664",0,3,"male",26
"665",1,3,"male",20
"666",0,3,"female",18
"667",0,3,"female",45
"668",0,3,"female",27
"669",0,3,"male",22
"670",0,3,"male",19
"671",0,3,"male",26
"672",0,3,"male",22
"673",0,3,"male",29.8811345124283
"674",0,3,"male",20
"675",1,3,"male",32
"676",0,3,"male",21
"677",0,3,"male",18
"678",0,3,"male",26
"679",0,3,"male",6
"680",0,3,"female",9
"681",0,3,"male",29.8811345124283
"682",0,3,"female",29.8811345124283
"683",0,3,"female",29.8811345124283
"684",0,3,"male",40
"685",0,3,"female",32
"686",0,3,"male",21
"687",1,3,"female",22
"688",0,3,"female",20
"689",0,3,"male",29
"690",0,3,"male",22
"691",0,3,"male",22
"692",0,3,"male",35
"693",0,3,"female",18.5
"694",1,3,"male",21
"695",0,3,"male",19
"696",0,3,"female",18
"697",0,3,"female",21
"698",0,3,"female",30
"699",0,3,"male",18
"700",0,3,"male",38
"701",0,3,"male",17
"702",0,3,"male",17
"703",0,3,"female",21
"704",0,3,"male",21
"705",0,3,"male",21
"706",0,3,"male",29.8811345124283
"707",0,3,"female",29.8811345124283
"708",0,3,"male",28
"709",0,3,"male",24
"710",1,3,"female",16
"711",0,3,"female",37
"712",0,3,"male",28
"713",0,3,"male",24
"714",0,3,"male",21
"715",1,3,"male",32
"716",0,3,"male",29
"717",0,3,"male",26
"718",0,3,"male",18
"719",0,3,"male",20
"720",1,3,"male",18
"721",0,3,"male",24
"722",0,3,"male",36
"723",0,3,"male",24
"724",0,3,"male",31
"725",0,3,"male",31
"726",1,3,"female",22
"727",0,3,"female",30
"728",0,3,"male",70.5
"729",0,3,"male",43
"730",0,3,"male",35
"731",0,3,"male",27
"732",0,3,"male",19
"733",0,3,"male",30
"734",1,3,"male",9
"735",1,3,"male",3
"736",1,3,"female",36
"737",0,3,"male",59
"738",0,3,"male",19
"739",1,3,"female",17
"740",0,3,"male",44
"741",0,3,"male",17
"742",0,3,"male",22.5
"743",1,3,"male",45
"744",0,3,"female",22
"745",0,3,"male",19
"746",1,3,"female",30
"747",1,3,"male",29
"748",0,3,"male",0.3333
"749",0,3,"male",34
"750",0,3,"female",28
"751",0,3,"male",27
"752",0,3,"male",25
"753",0,3,"male",24
"754",0,3,"male",22
"755",0,3,"male",21
"756",0,3,"male",17
"757",0,3,"male",29.8811345124283
"758",1,3,"female",29.8811345124283
"759",1,3,"male",36.5
"760",1,3,"female",36
"761",1,3,"male",30
"762",0,3,"male",16
"763",1,3,"male",1
"764",1,3,"female",0.1667
"765",0,3,"male",26
"766",1,3,"female",33
"767",0,3,"male",25
"768",0,3,"male",29.8811345124283
"769",0,3,"male",29.8811345124283
"770",0,3,"male",22
"771",0,3,"male",36
"772",1,3,"female",19
"773",0,3,"male",17
"774",0,3,"male",42
"775",0,3,"male",43
"776",0,3,"male",29.8811345124283
"777",0,3,"male",32
"778",1,3,"male",19
"779",1,3,"female",30
"780",0,3,"female",24
"781",1,3,"female",23
"782",0,3,"male",33
"783",0,3,"male",65
"784",1,3,"male",24
"785",0,3,"male",23
"786",1,3,"female",22
"787",0,3,"male",18
"788",0,3,"male",16
"789",0,3,"male",45
"790",0,3,"male",29.8811345124283
"791",0,3,"male",39
"792",0,3,"male",17
"793",0,3,"male",15
"794",0,3,"male",47
"795",1,3,"female",5
"796",0,3,"male",29.8811345124283
"797",0,3,"male",40.5
"798",0,3,"male",40.5
"799",1,3,"male",29.8811345124283
"800",0,3,"male",18
"801",0,3,"female",29.8811345124283
"802",0,3,"male",29.8811345124283
"803",0,3,"male",29.8811345124283
"804",0,3,"male",26
"805",0,3,"male",29.8811345124283
"806",1,3,"male",29.8811345124283
"807",0,3,"female",21
"808",0,3,"female",9
"809",0,3,"male",29.8811345124283
"810",0,3,"male",18
"811",0,3,"male",16
"812",0,3,"female",48
"813",0,3,"male",29.8811345124283
"814",0,3,"male",29.8811345124283
"815",0,3,"male",25
"816",0,3,"male",29.8811345124283
"817",0,3,"male",29.8811345124283
"818",0,3,"male",22
"819",1,3,"female",16
"820",1,3,"female",29.8811345124283
"821",1,3,"male",9
"822",0,3,"male",33
"823",0,3,"male",41
"824",1,3,"female",31
"825",0,3,"male",38
"826",0,3,"male",9
"827",0,3,"male",1
"828",0,3,"male",11
"829",0,3,"female",10
"830",0,3,"female",16
"831",0,3,"male",14
"832",0,3,"male",40
"833",0,3,"female",43
"834",0,3,"male",51
"835",0,3,"male",32
"836",0,3,"male",29.8811345124283
"837",0,3,"male",20
"838",0,3,"male",37
"839",0,3,"male",28
"840",0,3,"male",19
"841",0,3,"female",24
"842",0,3,"female",17
"843",0,3,"male",29.8811345124283
"844",0,3,"male",29.8811345124283
"845",0,3,"male",28
"846",1,3,"female",24
"847",0,3,"male",20
"848",0,3,"male",23.5
"849",0,3,"male",41
"850",0,3,"male",26
"851",0,3,"male",21
"852",1,3,"female",45
"853",0,3,"female",29.8811345124283
"854",0,3,"male",25
"855",0,3,"male",29.8811345124283
"856",0,3,"male",11
"857",1,3,"female",29.8811345124283
"858",1,3,"male",27
"859",1,3,"male",29.8811345124283
"860",0,3,"female",18
"861",1,3,"female",26
"862",0,3,"female",23
"863",1,3,"female",22
"864",0,3,"male",28
"865",0,3,"female",28
"866",0,3,"female",29.8811345124283
"867",1,3,"female",2
"868",1,3,"female",22
"869",0,3,"male",43
"870",0,3,"male",28
"871",1,3,"female",27
"872",0,3,"male",29.8811345124283
"873",1,3,"female",29.8811345124283
"874",0,3,"male",42
"875",1,3,"male",29.8811345124283
"876",0,3,"male",30
"877",0,3,"male",29.8811345124283
"878",0,3,"female",27
"879",0,3,"female",25
"880",0,3,"male",29.8811345124283
"881",1,3,"male",29
"882",1,3,"male",21
"883",0,3,"male",29.8811345124283
"884",0,3,"male",20
"885",0,3,"male",48
"886",0,3,"male",17
"887",1,3,"female",29.8811345124283
"888",1,3,"male",29.8811345124283
"889",0,3,"male",34
"890",1,3,"male",26
"891",0,3,"male",22
"892",0,3,"male",33
"893",0,3,"male",31
"894",0,3,"male",29
"895",1,3,"male",4
"896",1,3,"female",1
"897",0,3,"male",49
"898",0,3,"male",33
"899",0,3,"male",19
"900",1,3,"female",27
"901",0,3,"male",29.8811345124283
"902",0,3,"female",29.8811345124283
"903",0,3,"male",29.8811345124283
"904",0,3,"female",29.8811345124283
"905",0,3,"male",23
"906",1,3,"male",32
"907",0,3,"male",27
"908",0,3,"female",20
"909",0,3,"female",21
"910",1,3,"male",32
"911",0,3,"male",17
"912",0,3,"male",21
"913",0,3,"male",30
"914",1,3,"male",21
"915",0,3,"male",33
"916",0,3,"male",22
"917",1,3,"female",4
"918",1,3,"male",39
"919",0,3,"male",29.8811345124283
"920",0,3,"male",18.5
"921",0,3,"male",29.8811345124283
"922",0,3,"male",29.8811345124283
"923",1,3,"female",29.8811345124283
"924",1,3,"female",29.8811345124283
"925",0,3,"male",34.5
"926",0,3,"male",44
"927",1,3,"male",29.8811345124283
"928",0,3,"male",29.8811345124283
"929",0,3,"female",29.8811345124283
"930",0,3,"male",29.8811345124283
"931",0,3,"male",29.8811345124283
"932",0,3,"male",29.8811345124283
"933",0,3,"female",22
"934",0,3,"male",26
"935",1,3,"female",4
"936",1,3,"male",29
"937",1,3,"female",26
"938",0,3,"female",1
"939",0,3,"male",18
"940",0,3,"female",36
"941",0,3,"male",29.8811345124283
"942",1,3,"male",25
"943",0,3,"male",29.8811345124283
"944",0,3,"female",37
"945",0,3,"male",29.8811345124283
"946",1,3,"male",29.8811345124283
"947",0,3,"male",29.8811345124283
"948",1,3,"female",22
"949",0,3,"male",29.8811345124283
"950",1,3,"male",26
"951",0,3,"male",29
"952",0,3,"male",29
"953",0,3,"male",22
"954",1,3,"male",22
"955",0,3,"male",29.8811345124283
"956",0,3,"female",29.8811345124283
"957",0,3,"female",29.8811345124283
"958",0,3,"female",29.8811345124283
"959",0,3,"female",29.8811345124283
"960",0,3,"male",32
"961",0,3,"male",34.5
"962",0,3,"female",29.8811345124283
"963",0,3,"male",29.8811345124283
"964",0,3,"male",36
"965",0,3,"male",39
"966",0,3,"male",24
"967",0,3,"female",25
"968",0,3,"female",45
"969",0,3,"male",36
"970",0,3,"female",30
"971",1,3,"male",20
"972",0,3,"male",29.8811345124283
"973",0,3,"male",28
"974",0,3,"male",29.8811345124283
"975",0,3,"male",30
"976",0,3,"female",26
"977",0,3,"male",29.8811345124283
"978",0,3,"male",20.5
"979",1,3,"male",27
"980",0,3,"male",51
"981",1,3,"female",23
"982",1,3,"male",32
"983",0,3,"male",29.8811345124283
"984",0,3,"male",29.8811345124283
"985",1,3,"female",29.8811345124283
"986",1,3,"male",24
"987",0,3,"male",22
"988",0,3,"female",29.8811345124283
"989",0,3,"male",29.8811345124283
"990",0,3,"male",29.8811345124283
"991",0,3,"male",29
"992",1,3,"male",29.8811345124283
"993",0,3,"female",30.5
"994",1,3,"female",29.8811345124283
"995",0,3,"male",29.8811345124283
"996",0,3,"male",35
"997",0,3,"male",33
"998",1,3,"female",29.8811345124283
"999",0,3,"male",29.8811345124283
"1000",1,3,"female",29.8811345124283
"1001",1,3,"male",29.8811345124283
"1002",1,3,"female",29.8811345124283
"1003",1,3,"female",29.8811345124283
"1004",1,3,"male",29.8811345124283
"1005",1,3,"female",29.8811345124283
"1006",0,3,"male",29.8811345124283
"1007",1,3,"female",29.8811345124283
"1008",1,3,"female",15
"1009",0,3,"female",35
"1010",0,3,"male",29.8811345124283
"1011",0,3,"male",24
"1012",0,3,"female",19
"1013",0,3,"female",29.8811345124283
"1014",0,3,"female",29.8811345124283
"1015",0,3,"female",29.8811345124283
"1016",0,3,"male",55.5
"1017",0,3,"male",29.8811345124283
"1018",1,3,"male",21
"1019",0,3,"male",29.8811345124283
"1020",0,3,"male",24
"1021",0,3,"male",21
"1022",0,3,"male",28
"1023",0,3,"male",29.8811345124283
"1024",1,3,"female",29.8811345124283
"1025",0,3,"male",25
"1026",1,3,"male",6
"1027",1,3,"female",27
"1028",0,3,"male",29.8811345124283
"1029",1,3,"female",29.8811345124283
"1030",0,3,"male",29.8811345124283
"1031",0,3,"male",29.8811345124283
"1032",0,3,"male",34
"1033",0,3,"male",29.8811345124283
"1034",1,3,"male",29.8811345124283
"1035",1,3,"male",29.8811345124283
"1036",1,3,"male",29.8811345124283
"1037",1,3,"female",29.8811345124283
"1038",1,3,"female",29.8811345124283
"1039",0,3,"male",29.8811345124283
"1040",1,3,"female",29.8811345124283
"1041",1,3,"female",24
"1042",0,3,"male",29.8811345124283
"1043",1,3,"female",29.8811345124283
"1044",1,3,"female",29.8811345124283
"1045",1,3,"female",29.8811345124283
"1046",0,3,"male",18
"1047",0,3,"male",22
"1048",1,3,"female",15
"1049",1,3,"female",1
"1050",1,3,"male",20
"1051",1,3,"female",19
"1052",0,3,"male",33
"1053",0,3,"male",29.8811345124283
"1054",0,3,"male",29.8811345124283
"1055",0,3,"female",29.8811345124283
"1056",0,3,"male",29.8811345124283
"1057",1,3,"male",12
"1058",1,3,"female",14
"1059",0,3,"female",29
"1060",0,3,"male",28
"1061",1,3,"female",18
"1062",1,3,"female",26
"1063",0,3,"male",21
"1064",0,3,"male",41
"1065",1,3,"male",39
